arrival_1,arrival_3,arrival_2,stop_id,current_time,bus_id
 8:04 AM,11:03 AM, 1:03 PM,2102,2022-04-20 15:01:54.632,20
 8:08 AM,11:06 AM, 1:06 PM,1616,2022-04-20 15:02:00.721,20
 8:23 AM, 8:53 AM, 9:13 AM,2671,2022-04-20 15:02:21.809,19
 8:25 AM, 8:55 AM, 9:15 AM,2672,2022-04-20 15:02:22.602,19
 8:11 AM,11:10 A, 1:10 PM,2448,2022-04-20 15:02:25.208,20
 8:27 AM, 8:57 AM, 9:17 AM,2674,2022-04-20 15:02:26.218,19
arriving, 8:32 AM, 9:02 AM,2676,2022-04-20 15:02:34.326,19
 8:30 AM, 9:00 AM, 9:20 AM,2675,2022-04-20 15:02:48.108,19
 9:33 AM,10:33 AM,11:33 AM,1617,2022-04-20 16:00:40.973,10
 9:36 AM,10:36 AM,11:36 AM,1615,2022-04-20 16:00:45.478,10
 9:05 AM, 9:20 AM, 9:57 AM,2674,2022-04-20 16:00:55.854,15
 9:06 AM, 9:22 AM, 9:58 AM,2675,2022-04-20 16:00:57.700,15
 9:08 AM, 9:24 AM,10:00 AM,2676,2022-04-20 16:00:59.141,15
 9:22 AM, 9:59 AM,10:48 AM,1617,2022-04-20 16:01:03.686,18
 9:24 AM,10:01 AM,10:50 AM,1616,2022-04-20 16:01:10.684,18
 9:26 AM,10:04 AM,10:53 AM,1615,2022-04-20 16:01:15.683,18
 9:34 AM,10:34 AM,11:34 AM,1616,2022-04-20 16:01:32.498,10
 9:07 AM,10:00 AM, 1:00 PM,2102,2022-04-20 16:01:37.598,20
 9:39 AM,10:39 AM,11:39 AM,2448,2022-04-20 16:01:38.041,10
 9:03 AM, 9:19 AM, 9:55 AM,2672,2022-04-20 16:01:39.667,15
 9:08 AM,10:01 AM, 1:01 PM,1617,2022-04-20 16:01:41.782,20
 9:02 AM, 9:18 AM, 9:54 AM,2671,2022-04-20 16:01:43.671,15
 9:09 AM,10:02 AM, 1:02 PM,1616,2022-04-20 16:01:48.478,20
 9:14 AM,10:08 AM, 1:08 PM,2448,2022-04-20 16:01:47.843,20
 9:21 AM, 9:58 AM,10:47 AM,2102,2022-04-20 16:01:50.935,18
 9:27 AM, 9:47 AM,10:27 AM,2672,2022-04-20 16:01:51.568,19
arriving, 9:28 AM, 9:48 AM,2674,2022-04-20 16:01:54.226,19
 9:05 AM, 9:32 AM, 9:52 AM,2676,2022-04-20 16:01:57.514,19
 9:29 AM,10:07 AM,10:55 AM,2448,2022-04-20 16:02:09.713,18
 9:10 AM,10:04 AM, 1:04 PM,1615,2022-04-20 16:02:35.978,20
 9:25 AM, 9:45 AM,10:25 AM,2671,2022-04-20 16:02:38.795,19
 9:03 AM, 9:30 AM, 9:50 AM,2675,2022-04-20 16:02:45.507,19
10:37 A,11:37 AM,12:37 PM,1616,2022-04-20 17:00:48.707,10
10:39 AM,11:39 AM,12:39 PM,1615,2022-04-20 17:00:52.662,10
10:03 AM,10:19 AM,10:55 AM,2672,2022-04-20 17:00:55.853,15
10:02 AM,10:18 AM,10:54 AM,2671,2022-04-20 17:00:58.273,15
10:08 AM,10:24 AM,11:01 AM,2676,2022-04-20 17:01:07.284,15
10:36 AM,11:36 AM,12:36 PM,1617,2022-04-20 17:01:35.164,10
10:42 AM,11:42 AM,12:42 PM,2448,2022-04-20 17:01:43.057,10
10:04 AM,10:20 AM,10:56 AM,2674,2022-04-20 17:01:50.222,15
10:06 AM,10:22 AM,10:58 AM,2675,2022-04-20 17:01:53.277,15
10:19 AM,10:47 AM,11:17 AM,2102,2022-04-20 17:01:57.549,18
10:20 AM,10:49 AM,11:19 AM,1617,2022-04-20 17:02:01.811,18
11:07 AM, 1:07 PM, 3:07 PM,2102,2022-04-20 17:02:03.171,20
10:26 AM,10:54 AM,11:24 AM,2448,2022-04-20 17:02:03.179,18
11:08 AM, 1:08 PM, 3:08 PM,1617,2022-04-20 17:02:04.475,20
11:12 AM, 1:12 PM, 3:12 PM,1615,2022-04-20 17:02:10.106,20
10:25 AM,10:55 AM,11:25 AM,2671,2022-04-20 17:02:12.808,19
10:28 AM,10:59 AM,11:28 AM,2674,2022-04-20 17:02:19.399,19
arriving,10:31 AM,11:01 AM,2675,2022-04-20 17:02:23.557,19
10:22 AM,10:50 AM,11:20 AM,1616,2022-04-20 17:02:29.702,18
10:24 AM,10:51 AM,11:21 AM,1615,2022-04-20 17:02:37.999,18
11:10 A, 1:10 PM, 3:10 PM,1616,2022-04-20 17:02:56.223,20
11:16 AM, 1:16 PM, 3:16 PM,2448,2022-04-20 17:03:00.495,20
10:27 AM,10:57 AM,11:27 AM,2672,2022-04-20 17:03:06.762,19
10:04 AM,10:33 AM,11:03 AM,2676,2022-04-20 17:03:17.448,19
11:32 AM,12:32 PM, 1:32 PM,1616,2022-04-20 18:00:33.843,10
11:04 AM,11:19 AM,11:57 AM,2674,2022-04-20 18:00:43.914,15
11:05 AM,11:22 AM,12:00 PM,2675,2022-04-20 18:00:48.060,15
11:30 AM,12:30 PM, 1:30 PM,1617,2022-04-20 18:01:20.222,10
11:20 AM,11:49 AM,12:19 P,2102,2022-04-20 18:01:24.201,18
11:34 AM,12:34 PM, 1:34 PM,1615,2022-04-20 18:01:24.637,10
11:38 AM,12:38 PM, 1:38 PM,2448,2022-04-20 18:01:27.537,10
11:02 AM,11:17 AM,11:55 AM,2672,2022-04-20 18:01:29.074,15
11:22 AM,11:51 AM,12:21 PM,1617,2022-04-20 18:01:29.165,18
arriving,11:15 AM,11:54 AM,2671,2022-04-20 18:01:30.873,15
11:08 AM, 1:01 PM, 1:06 PM,2102,2022-04-20 18:01:36.316,20
11:11 AM, 1:04 PM, 1:09 PM,1616,2022-04-20 18:01:40.547,20
11:09 AM,11:25 AM,12:04 PM,2676,2022-04-20 18:01:45.043,15
11:24 AM,11:53 AM,12:23 PM,1616,2022-04-20 18:02:19.994,18
11:26 AM,11:55 AM,12:25 PM,1615,2022-04-20 18:02:21.774,18
arriving,11:29 AM,11:58 AM,2448,2022-04-20 18:02:23.418,18
11:19 AM,11:49 AM,12:19 PM,2671,2022-04-20 18:02:25.636,19
11:10 A, 1:02 PM, 1:07 PM,1617,2022-04-20 18:02:27.090,20
11:25 AM,11:55 AM,12:25 PM,2675,2022-04-20 18:02:30.624,19
11:13 AM, 1:06 PM, 1:11 PM,1615,2022-04-20 18:02:33.936,20
11:17 AM, 1:09 PM, 1:14 PM,2448,2022-04-20 18:02:39.408,20
11:21 AM,11:51 AM,12:21 PM,2672,2022-04-20 18:03:15.520,19
11:23 AM,11:53 AM,12:23 PM,2674,2022-04-20 18:03:17.788,19
11:27 AM,11:57 AM,12:27 PM,2676,2022-04-20 18:03:23.090,19
12:34 PM, 1:34 PM, 2:34 PM,1617,2022-04-20 19:00:45.313,10
12:37 PM, 1:37 PM, 2:37 PM,1616,2022-04-20 19:00:52.087,10
12:03 PM,12:20 PM,12:59 PM,2672,2022-04-20 19:00:54.135,15
12:02 PM,12:19 P,12:57 PM,2671,2022-04-20 19:00:56.257,15
12:05 PM,12:23 PM, 1:01 PM,2674,2022-04-20 19:00:59.280,15
12:07 PM,12:24 PM, 1:02 PM,2675,2022-04-20 19:01:00.160,15
12:26 PM,12:55 PM, 1:25 PM,2102,2022-04-20 19:01:08.398,18
arriving,12:27 PM,12:56 PM,1617,2022-04-20 19:01:11.802,18
12:02 PM,12:28 P,12:57 PM,1616,2022-04-20 19:01:12.124,18
12:39 PM, 1:39 PM, 2:39 PM,1615,2022-04-20 19:01:39.273,10
12:43 PM, 1:43 PM, 2:43 PM,2448,2022-04-20 19:01:44.479,10
12:09 PM,12:26 PM, 1:05 PM,2676,2022-04-20 19:01:55.123,15
12:03 PM,12:30 PM,12:59 PM,1615,2022-04-20 19:02:16.415,18
12:07 PM,12:34 PM, 1:04 PM,2448,2022-04-20 19:02:26.214,18
